ConvertedCompYearly,Country,LearnCode,DevType
140000.0,United States of America,Online forum and resources,Back-End Developer
,Saudi Arabia,Online forum and resources,Developer_ desktop or enterprise applications
10992.0,Brazil,Online forum and resources,Front-End Developer
25000.0,United States of America,Online forum and resources,Fullstack Developer
84672.0,Hungary,School,Mobile Developer
230000.0,United States of America,Online forum and resources,Back-End Developer
51888.0,Netherlands,School,Front-End Developer
108000.0,United States of America,School,Back-End Developer
75631.0,Canada,School,Mobile Developer
250000.0,United States of America,Online forum and resources,Back-End Developer
31896.0,Poland,Online forum and resources,Back-End Developer
13812.0,Turkey,"Colleague, friend or family",Back-End Developer
68400.0,"Iran, Islamic Republic of...","Colleague, friend or family",Front-End Developer
70000.0,United States of America,School,Fullstack Developer
52186.0,Canada,Online forum and resources,Front-End Developer
,Greece,Books / Physical media,Senior Executive (C-Suite_ VP_ etc.)
,India,Online forum and resources,Product Manager
,India,Online forum and resources,Front-End Developer
84019.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
3600.0,Lebanon,School,Mobile Developer
98000.0,United States of America,Online forum and resources,DevOps specialist
160000.0,United States of America,Online forum and resources,Front-End Developer
70264.0,Germany,Online forum and resources,Back-End Developer
108000.0,United States of America,School,Fullstack Developer
11544.0,Egypt,Online forum and resources,Mobile Developer
174000.0,United States of America,School,Back-End Developer
90802.0,Germany,Online forum and resources,Fullstack Developer
86838.0,Denmark,Online forum and resources,Fullstack Developer
150000.0,United States of America,"Colleague, friend or family",Back-End Developer
8628.0,Morocco,Online forum and resources,Fullstack Developer
52942.0,Canada,Online forum and resources,Fullstack Developer
97260.0,Denmark,"Colleague, friend or family",Front-End Developer
36000.0,Ukraine,School,Front-End Developer
77832.0,Netherlands,School,Fullstack Developer
300000.0,United States of America,Online forum and resources,Back-End Developer
1282740.0,Australia,Coding Bootcamp,Fullstack Developer
,Germany,Online forum and resources,Mobile Developer
65378.0,Germany,Online forum and resources,Fullstack Developer
,United States of America,Online forum and resources,Fullstack Developer
113447.0,Canada,School,Fullstack Developer
43200.0,Sweden,Online forum and resources,Mobile Developer
64751.0,Austria,School,Developer_ desktop or enterprise applications
183750.0,United Kingdom of Great Britain and Northern Ireland,School,Fullstack Developer
,Spain,Online forum and resources,Fullstack Developer
10056.0,India,Online forum and resources,Developer_ desktop or enterprise applications
64859.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
230000.0,United States of America,School,Back-End Developer
86478.0,Netherlands,Online Courses or Certification,Back-End Developer
3782.0,Canada,Online forum and resources,Back-End Developer
,New Zealand,Online forum and resources,Senior Executive (C-Suite_ VP_ etc.)
26724.0,Poland,Online forum and resources,Developer_ embedded applications or devices
45000.0,United States of America,Online forum and resources,Mobile Developer
68748.0,Germany,Online forum and resources,Back-End Developer
,United States of America,School,Engineer_ data
,India,School,Mobile Developer
16560.0,Chile,Online forum and resources,Front-End Developer
,Germany,"Colleague, friend or family",Developer_ desktop or enterprise applications
106639.0,United Kingdom of Great Britain and Northern Ireland,Online Courses or Certification,Engineer_ data
51887.0,Germany,"Colleague, friend or family",Front-End Developer
716988.0,Canada,Online forum and resources,Fullstack Developer
155000.0,United States of America,Online forum and resources,Back-End Developer
,Ghana,Online forum and resources,Mobile Developer
,Egypt,School,Mobile Developer
57600.0,Brazil,"Colleague, friend or family",Front-End Developer
156000.0,United States of America,School,Fullstack Developer
200000.0,United States of America,Online forum and resources,Mobile Developer
86316.0,Norway,Coding Bootcamp,Data Scientist
5916.0,Turkey,Online forum and resources,Front-End Developer
50316.0,Sweden,Books / Physical media,Mobile Developer
110000.0,United States of America,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Academic researcher
43404.0,Russian Federation,Online Courses or Certification,Back-End Developer
,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
30192.0,Russian Federation,Online forum and resources,Back-End Developer
60535.0,Germany,Online forum and resources,Back-End Developer
45379.0,Canada,Online forum and resources,Front-End Developer
,Nigeria,Online forum and resources,Mobile Developer
32000.0,United States of America,Online forum and resources,Fullstack Developer
,Germany,"Colleague, friend or family",Front-End Developer
105072.0,Israel,Online forum and resources,Mobile Developer
67453.0,Germany,"Colleague, friend or family",Mobile Developer
87250.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ desktop or enterprise applications
85000.0,United States of America,Coding Bootcamp,Engineer_ data
,Ireland,Online forum and resources,Front-End Developer
340000.0,United States of America,School,Back-End Developer
1944.0,Argentina,Books / Physical media,Front-End Developer
42528.0,Poland,Online forum and resources,Back-End Developer
39492.0,Poland,Online forum and resources,Mobile Developer
88640.0,Portugal,Online forum and resources,Fullstack Developer
,Bangladesh,Online forum and resources,Front-End Developer
,United States of America,School,Fullstack Developer
98369.0,Netherlands,Online forum and resources,Mobile Developer
,Italy,Online forum and resources,Mobile Developer
15300.0,Belarus,Online forum and resources,Mobile Developer
,United States of America,School,Mobile Developer
47184.0,Russian Federation,Other,Fullstack Developer
,Poland,Online forum and resources,Front-End Developer
,Germany,Online forum and resources,Engineering manager
,France,Online forum and resources,Data Scientist
71850.0,Canada,Online forum and resources,Fullstack Developer
110000.0,United States of America,Online forum and resources,Fullstack Developer
203660.0,United States of America,School,Engineer_ data
123000.0,United States of America,Books / Physical media,Back-End Developer
43031.0,Poland,School,Back-End Developer
31344.0,Croatia,Online forum and resources,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
25944.0,Germany,Online forum and resources,Front-End Developer
620448.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
,Turkey,Online forum and resources,Front-End Developer
250000.0,United States of America,Online forum and resources,Data Scientist
95000.0,United States of America,School,Front-End Developer
180000.0,United States of America,"Colleague, friend or family",Back-End Developer
,Israel,Books / Physical media,Data Scientist
31945.0,New Zealand,School,Front-End Developer
75000.0,United States of America,Online forum and resources,Developer_ QA or test
,United States of America,Online forum and resources,Academic researcher
64287.0,Canada,School,Fullstack Developer
98000.0,United States of America,Online forum and resources,Mobile Developer
193889.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ desktop or enterprise applications
24000.0,Bosnia and Herzegovina,Online forum and resources,Fullstack Developer
2000000.0,United States of America,Online forum and resources,Senior Executive (C-Suite_ VP_ etc.)
6876.0,Brazil,Online forum and resources,Mobile Developer
150000.0,United States of America,Online forum and resources,Back-End Developer
,Brazil,Books / Physical media,Developer_ desktop or enterprise applications
,Russian Federation,Coding Bootcamp,Back-End Developer
12096.0,Brazil,Online forum and resources,Fullstack Developer
47563.0,Netherlands,Online forum and resources,Developer_ desktop or enterprise applications
64859.0,Spain,Online forum and resources,Back-End Developer
,United States of America,Books / Physical media,Front-End Developer
583728.0,Italy,Online forum and resources,Mobile Developer
400000.0,United States of America,Online forum and resources,Back-End Developer
,United States of America,Online forum and resources,Mobile Developer
81319.0,Switzerland,"Colleague, friend or family",Mobile Developer
18156.0,Greece,School,Front-End Developer
25944.0,Italy,School,Mobile Developer
,France,Online forum and resources,Developer_ desktop or enterprise applications
33732.0,France,School,Fullstack Developer
33732.0,France,Online forum and resources,Developer_ game or graphics
37752.0,Russian Federation,Coding Bootcamp,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,School,Product Manager
81682.0,Canada,Online forum and resources,Fullstack Developer
73272.0,Romania,School,Front-End Developer
115784.0,Denmark,Other,Back-End Developer
58264.0,Norway,Online forum and resources,Front-End Developer
67332.0,Norway,Online forum and resources,Fullstack Developer
24660.0,Turkey,School,Fullstack Developer
72000.0,Brazil,Online forum and resources,Front-End Developer
92420.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
54480.0,Finland,Books / Physical media,Database administrator
,United States of America,Coding Bootcamp,Back-End Developer
112000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
185500.0,United States of America,School,Developer_ desktop or enterprise applications
32424.0,Turkey,Online forum and resources,Front-End Developer
39492.0,Poland,Online forum and resources,System administrator
,United States of America,"Colleague, friend or family",Mobile Developer
10995.0,Brazil,Other,Fullstack Developer
24000.0,Barbados,Online forum and resources,Back-End Developer
30200.0,Nigeria,Online forum and resources,Mobile Developer
230000.0,United States of America,School,Developer_ desktop or enterprise applications
60000.0,United States of America,Online Courses or Certification,Front-End Developer
108964.0,United States of America,Online forum and resources,Developer_ QA or test
230000.0,United States of America,Books / Physical media,Front-End Developer
58728.0,Ukraine,School,Back-End Developer
62698.0,Norway,Online forum and resources,Front-End Developer
35000.0,United States of America,School,Data Scientist
9696.0,Mexico,School,Fullstack Developer
54049.0,Germany,"Colleague, friend or family",Mobile Developer
20885.0,Austria,Online forum and resources,Developer_ desktop or enterprise applications
68249.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
300000.0,United States of America,Online forum and resources,Mobile Developer
105000.0,United States of America,Online forum and resources,Fullstack Developer
42000.0,United States of America,School,Engineer_ data
34692.0,Serbia,School,Fullstack Developer
24300.0,Poland,Online forum and resources,Fullstack Developer
40537.0,France,Online forum and resources,Front-End Developer
182000.0,United States of America,Online forum and resources,Back-End Developer
103272.0,Poland,Online forum and resources,Developer_ desktop or enterprise applications
65000.0,United States of America,Coding Bootcamp,Fullstack Developer
116000.0,United States of America,Online forum and resources,Mobile Developer
32988.0,Brazil,Online forum and resources,Front-End Developer
43728.0,Lithuania,Online forum and resources,Data Scientist
172957.0,Germany,School,Mobile Developer
175000.0,United States of America,"Colleague, friend or family",Mobile Developer
58000.0,United States of America,School,Academic researcher
162147.0,Ireland,School,Fullstack Developer
146712.0,"Venezuela, Bolivarian Republic of...",Online forum and resources,Front-End Developer
80172.0,Australia,Online forum and resources,Developer_ desktop or enterprise applications
80000.0,United States of America,Online forum and resources,Front-End Developer
,India,School,Engineer_ data
45396.0,Lithuania,Online forum and resources,Fullstack Developer
,United States of America,Online forum and resources,Product Manager
6156.0,Morocco,School,Mobile Developer
53948.0,Norway,Online forum and resources,Front-End Developer
,United States of America,Online forum and resources,Engineer_ data
70000.0,United States of America,School,Fullstack Developer
110000.0,United States of America,School,Front-End Developer
41124.0,Netherlands,Online forum and resources,Developer_ desktop or enterprise applications
48000.0,Ukraine,Online Courses or Certification,Engineer_ data
340000.0,United States of America,"Colleague, friend or family",Developer_ desktop or enterprise applications
36300.0,India,School,Fullstack Developer
26424.0,Russian Federation,Coding Bootcamp,Front-End Developer
200000.0,United States of America,Online forum and resources,Back-End Developer
42804.0,Romania,Online forum and resources,Front-End Developer
65940.0,Austria,Online Courses or Certification,DevOps specialist
11640.0,Mexico,School,Mobile Developer
102693.0,Germany,Online forum and resources,Engineer_ data
42960.0,Sweden,Online forum and resources,Mobile Developer
,New Zealand,Online Courses or Certification,Mobile Developer
,Canada,Online forum and resources,Fullstack Developer
64643.0,Germany,Online forum and resources,Fullstack Developer
163200.0,United States of America,School,Fullstack Developer
63000.0,United States of America,Online forum and resources,Front-End Developer
840000.0,United States of America,School,Senior Executive (C-Suite_ VP_ etc.)
,Canada,Online forum and resources,Fullstack Developer
54455.0,Canada,Online forum and resources,Mobile Developer
62280.0,Russian Federation,Online forum and resources,Developer_ desktop or enterprise applications
,Netherlands,Books / Physical media,Developer_ desktop or enterprise applications
200000.0,Brazil,Online forum and resources,Engineer_ data
78000.0,United States of America,Coding Bootcamp,Front-End Developer
,Bangladesh,Coding Bootcamp,Mobile Developer
26628.0,Turkey,School,Back-End Developer
81074.0,France,Online forum and resources,Fullstack Developer
49632.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
24744.0,Brazil,Online forum and resources,Mobile Developer
53509.0,Germany,School,Front-End Developer
50160.0,Armenia,Online forum and resources,Back-End Developer
21996.0,Brazil,Online forum and resources,Back-End Developer
,United States of America,School,Fullstack Developer
80000.0,United States of America,Online forum and resources,Mobile Developer
,United States of America,Online forum and resources,Fullstack Developer
36000.0,United States of America,School,Front-End Developer
71.0,United States of America,Online forum and resources,Mobile Developer
39093.0,India,School,Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
350000.0,Canada,Online forum and resources,Back-End Developer
75669.0,Germany,Other,Front-End Developer
11676.0,Argentina,Coding Bootcamp,DevOps specialist
59459.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
135000.0,United States of America,Online forum and resources,Front-End Developer
,Israel,Online forum and resources,Fullstack Developer
30372.0,Poland,Online forum and resources,Back-End Developer
98000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
51112.0,New Zealand,Online forum and resources,Front-End Developer
5544.0,Morocco,Online forum and resources,Fullstack Developer
93067.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Data Scientist
90000.0,United States of America,Books / Physical media,Developer_ embedded applications or devices
,India,School,Fullstack Developer
,Germany,"Colleague, friend or family",Mobile Developer
80000.0,United States of America,Online forum and resources,Front-End Developer
19896.0,Bulgaria,School,Developer_ game or graphics
68837.0,Norway,Online forum and resources,Mobile Developer
144000.0,United States of America,Other,Developer_ desktop or enterprise applications
110000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
129720.0,Turkey,Coding Bootcamp,Mobile Developer
200000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
49068.0,Russian Federation,Online forum and resources,Developer_ desktop or enterprise applications
103932.0,Czech Republic,School,Developer_ desktop or enterprise applications
14184.0,Uruguay,School,Back-End Developer
47184.0,Russian Federation,Coding Bootcamp,Front-End Developer
155111.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Engineer_ data
,Andorra,Online Courses or Certification,Mobile Developer
36193.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
73507.0,France,Online forum and resources,Engineer_ data
20820.0,Armenia,Coding Bootcamp,Front-End Developer
75669.0,Netherlands,Online forum and resources,Front-End Developer
,United States of America,"Colleague, friend or family",Developer_ desktop or enterprise applications
84316.0,Germany,Online forum and resources,Front-End Developer
51704.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ game or graphics
,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
,Germany,Online forum and resources,Fullstack Developer
225000.0,United States of America,Online forum and resources,Fullstack Developer
,United States of America,Online forum and resources,Front-End Developer
,Egypt,Online forum and resources,Fullstack Developer
125000.0,United States of America,Online forum and resources,Fullstack Developer
84019.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
28308.0,Russian Federation,Online forum and resources,Fullstack Developer
,United States of America,School,Mobile Developer
,South Africa,Coding Bootcamp,Mobile Developer
,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
64860.0,Germany,Online forum and resources,Back-End Developer
70264.0,France,School,Back-End Developer
75631.0,Canada,Online forum and resources,Developer_ embedded applications or devices
45396.0,Austria,"Colleague, friend or family",Data Scientist
720000.0,United States of America,Online forum and resources,Developer_ QA or test
112000.0,United States of America,School,Front-End Developer
400000.0,United States of America,Online forum and resources,Engineer_ data
100000.0,United States of America,School,Back-End Developer
60505.0,Canada,Online forum and resources,Fullstack Developer
88000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
98321.0,Canada,Online forum and resources,Engineer_ data
40872.0,Argentina,Books / Physical media,Developer_ desktop or enterprise applications
544812.0,France,Online Courses or Certification,Developer_ embedded applications or devices
,Poland,Online forum and resources,Back-End Developer
94366.0,Russian Federation,Online Courses or Certification,Mobile Developer
100000.0,United States of America,Online forum and resources,Front-End Developer
3348.0,India,Online forum and resources,Mobile Developer
15564.0,Italy,School,Data Scientist
59749.0,Canada,School,Developer_ desktop or enterprise applications
85000.0,United States of America,Online forum and resources,Mobile Developer
127500.0,United States of America,School,Front-End Developer
43980.0,Brazil,Online forum and resources,DevOps specialist
46482.0,Germany,Online forum and resources,Engineer_ data
40080.0,Australia,Online forum and resources,Data Scientist
661560.0,Germany,"Colleague, friend or family",Mobile Developer
,United States of America,Books / Physical media,Developer_ desktop or enterprise applications
58373.0,France,School,Developer_ game or graphics
124300.0,France,Online forum and resources,Fullstack Developer
,India,Online forum and resources,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ embedded applications or devices
70000.0,United States of America,Online forum and resources,Back-End Developer
89364.0,Iceland,Online forum and resources,Mobile Developer
82464.0,Brazil,Other,Back-End Developer
18156.0,France,Online forum and resources,Fullstack Developer
148648.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ desktop or enterprise applications
89508.0,Bulgaria,Online forum and resources,DevOps specialist
121070.0,Spain,"Colleague, friend or family",Back-End Developer
,United States of America,Online forum and resources,Fullstack Developer
1140000.0,United States of America,School,Front-End Developer
,Egypt,Online forum and resources,Fullstack Developer
31560.0,Turkey,Books / Physical media,Developer_ desktop or enterprise applications
10380.0,Italy,Online forum and resources,Front-End Developer
30768.0,Russian Federation,Online forum and resources,Fullstack Developer
165000.0,United States of America,School,Back-End Developer
,Egypt,Online forum and resources,Mobile Developer
,Brazil,Other,Fullstack Developer
64859.0,Germany,Online forum and resources,Data Scientist
108912.0,Canada,School,Front-End Developer
48472.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
,United States of America,Online forum and resources,Front-End Developer
,Russian Federation,School,System administrator
77831.0,France,School,Back-End Developer
,Italy,Online forum and resources,Engineer_ data
,Canada,Online forum and resources,Fullstack Developer
100000.0,United States of America,Online forum and resources,Front-End Developer
23172.0,Bosnia and Herzegovina,Online forum and resources,Mobile Developer
79000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
,Germany,Online forum and resources,Front-End Developer
304947.0,Switzerland,School,Fullstack Developer
84316.0,Germany,Online forum and resources,Engineer_ data
,Denmark,Online forum and resources,Fullstack Developer
,Austria,Other,Back-End Developer
79139.0,United States of America,Online forum and resources,Mobile Developer
139600.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Fullstack Developer
,Netherlands,Books / Physical media,Developer_ desktop or enterprise applications
170000.0,United States of America,Online forum and resources,Front-End Developer
,France,School,Front-End Developer
78156.0,Denmark,Online forum and resources,Front-End Developer
,Ireland,Online forum and resources,Mobile Developer
600000.0,Japan,Online Courses or Certification,Mobile Developer
,France,School,Mobile Developer
50000.0,United States of America,Online forum and resources,Back-End Developer
,Germany,School,Front-End Developer
28860.0,Poland,Online forum and resources,Fullstack Developer
,Romania,School,Fullstack Developer
60000.0,Ukraine,Online forum and resources,Front-End Developer
95000.0,United States of America,Coding Bootcamp,Fullstack Developer
,Italy,School,Academic researcher
,United States of America,School,Fullstack Developer
67021.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
20943.0,India,Coding Bootcamp,Front-End Developer
3120000.0,United States of America,Online forum and resources,Back-End Developer
56196.0,Poland,Online forum and resources,Developer_ desktop or enterprise applications
7548.0,Germany,Online forum and resources,Front-End Developer
54480.0,Netherlands,Books / Physical media,Developer_ embedded applications or devices
70264.0,Belgium,Online forum and resources,Data Scientist
,United States of America,Online forum and resources,Back-End Developer
1010000.0,United States of America,Books / Physical media,Developer_ desktop or enterprise applications
9324.0,Bangladesh,Online forum and resources,Front-End Developer
,United States of America,Online forum and resources,Front-End Developer
,Norway,School,Developer_ desktop or enterprise applications
,The former Yugoslav Republic of Macedonia,Online forum and resources,Mobile Developer
41077.0,France,Online forum and resources,Front-End Developer
6852.0,Ukraine,Online forum and resources,Front-End Developer
56788.0,Australia,Online forum and resources,Mobile Developer
50728.0,France,School,Fullstack Developer
49308.0,Turkey,School,Fullstack Developer
10500000.0,United States of America,School,Mobile Developer
,India,Coding Bootcamp,Front-End Developer
64859.0,Germany,Online Courses or Certification,Back-End Developer
162500.0,United States of America,Online forum and resources,Fullstack Developer
150000.0,United States of America,School,Fullstack Developer
,Russian Federation,Online forum and resources,Fullstack Developer
165000.0,United States of America,Coding Bootcamp,Fullstack Developer
,United States of America,Online forum and resources,Fullstack Developer
122500.0,United States of America,Coding Bootcamp,Fullstack Developer
90000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
10440.0,Brazil,Online forum and resources,Developer_ desktop or enterprise applications
15120.0,Brazil,Online forum and resources,Mobile Developer
,India,Online forum and resources,Mobile Developer
51704.0,United Kingdom of Great Britain and Northern Ireland,School,Mobile Developer
125000.0,United States of America,Online forum and resources,Fullstack Developer
40332.0,Kenya,Online forum and resources,Mobile Developer
69000.0,United States of America,Online forum and resources,Engineer_ data
10596.0,Colombia,Online Courses or Certification,Back-End Developer
,Mexico,Online forum and resources,Fullstack Developer
,Canada,School,Fullstack Developer
29736.0,Serbia,Online Courses or Certification,Engineer_ data
,"Iran, Islamic Republic of...",Online forum and resources,Data Scientist
48000.0,Germany,Online forum and resources,Fullstack Developer
,Hungary,Online forum and resources,Back-End Developer
,Poland,Coding Bootcamp,Mobile Developer
,United States of America,Books / Physical media,Back-End Developer
250000.0,United States of America,School,Back-End Developer
232667.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
43239.0,Italy,Online forum and resources,Back-End Developer
,Russian Federation,Online forum and resources,Front-End Developer
77946.0,New Zealand,Books / Physical media,Front-End Developer
150000.0,United States of America,School,Fullstack Developer
60535.0,Germany,Books / Physical media,Fullstack Developer
15564.0,Slovakia,School,Back-End Developer
64630.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Back-End Developer
,Germany,Online forum and resources,Back-End Developer
56460.0,Sweden,School,Front-End Developer
81722.0,Austria,Online forum and resources,Front-End Developer
47000.0,United States of America,School,Developer_ desktop or enterprise applications
350000.0,United States of America,School,Back-End Developer
140000.0,United States of America,Online forum and resources,Engineer_ data
54049.0,Netherlands,Online forum and resources,Mobile Developer
71093.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
5496.0,Brazil,Online forum and resources,Academic researcher
48916.0,United States of America,Coding Bootcamp,Academic researcher
185515.0,United States of America,Online forum and resources,Back-End Developer
51347.0,Netherlands,Online forum and resources,Back-End Developer
,Poland,Online forum and resources,Mobile Developer
208000.0,United States of America,Online forum and resources,Back-End Developer
5250000.0,United States of America,Online forum and resources,Front-End Developer
,Russian Federation,Online forum and resources,Fullstack Developer
5652.0,Bangladesh,Online forum and resources,Front-End Developer
37834.0,Slovakia,School,Back-End Developer
17412.0,Croatia,School,Developer_ desktop or enterprise applications
13740.0,Brazil,Online forum and resources,Mobile Developer
86402.0,Switzerland,Online forum and resources,Front-End Developer
50000.0,United States of America,Online forum and resources,Back-End Developer
,Netherlands,Online forum and resources,Mobile Developer
216196.0,Netherlands,Online forum and resources,Developer_ embedded applications or devices
40000.0,Guatemala,Online forum and resources,Front-End Developer
39492.0,Poland,Online forum and resources,Back-End Developer
61366.0,Sweden,Coding Bootcamp,Developer_ desktop or enterprise applications
6876.0,Brazil,Online forum and resources,Fullstack Developer
,United States of America,Online forum and resources,Front-End Developer
,South Africa,Online forum and resources,Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,Coding Bootcamp,Fullstack Developer
227000.0,United States of America,Online forum and resources,Mobile Developer
116333.0,United Kingdom of Great Britain and Northern Ireland,Online Courses or Certification,Senior Executive (C-Suite_ VP_ etc.)
19452.0,Pakistan,Online forum and resources,Fullstack Developer
108000.0,United States of America,Online forum and resources,Fullstack Developer
26520.0,Bulgaria,Online Courses or Certification,Front-End Developer
,United States of America,Online forum and resources,Front-End Developer
,Germany,Online forum and resources,Engineering manager
35672.0,Belgium,Online forum and resources,Back-End Developer
2171556.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Senior Executive (C-Suite_ VP_ etc.)
54306.0,New Zealand,"Colleague, friend or family",Fullstack Developer
100000.0,United States of America,Online forum and resources,Fullstack Developer
52996.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Fullstack Developer
128000.0,United States of America,Online forum and resources,Engineer_ data
10992.0,Brazil,Online forum and resources,Back-End Developer
160000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
45241.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
45000.0,United States of America,School,System administrator
,United States of America,School,Front-End Developer
,Netherlands,School,Engineering manager
54049.0,France,School,Developer_ game or graphics
,United States of America,School,Engineer_ data
71850.0,Canada,School,Engineer_ data
,Austria,Online forum and resources,Fullstack Developer
84312.0,Lithuania,Online forum and resources,Back-End Developer
,United States of America,"Colleague, friend or family",Front-End Developer
48600.0,Poland,Online forum and resources,Front-End Developer
,Brazil,School,Data Scientist
58896.0,South Africa,School,Developer_ desktop or enterprise applications
10572.0,Costa Rica,Online forum and resources,Mobile Developer
,India,Online forum and resources,Fullstack Developer
72000.0,United States of America,Online forum and resources,Front-End Developer
103000.0,United States of America,Online forum and resources,Front-End Developer
150000.0,United States of America,Coding Bootcamp,Engineer_ data
38915.0,France,Coding Bootcamp,Mobile Developer
60535.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
81074.0,Ireland,Online forum and resources,Front-End Developer
25829.0,India,Coding Bootcamp,Front-End Developer
25248.0,Tunisia,School,Front-End Developer
,New Zealand,Coding Bootcamp,Mobile Developer
,Dominican Republic,Online forum and resources,Developer_ desktop or enterprise applications
,United States of America,Online forum and resources,Fullstack Developer
75669.0,Mauritius,School,Developer_ desktop or enterprise applications
2400000.0,United States of America,Books / Physical media,Fullstack Developer
74868.0,Sweden,School,Mobile Developer
150000.0,United States of America,Coding Bootcamp,Fullstack Developer
13956.0,India,Online forum and resources,Mobile Developer
11724.0,India,School,Fullstack Developer
21852.0,Azerbaijan,School,Fullstack Developer
35028.0,France,Online forum and resources,Back-End Developer
125000.0,United States of America,Online forum and resources,Back-End Developer
100000.0,United States of America,Online forum and resources,Fullstack Developer
,Germany,"Colleague, friend or family",Front-End Developer
220000.0,United States of America,Online forum and resources,Front-End Developer
70000.0,United States of America,Online forum and resources,Engineer_ data
175000.0,United States of America,Online forum and resources,Fullstack Developer
129058.0,New Zealand,Online Courses or Certification,Engineering manager
54000.0,United States of America,Online forum and resources,Fullstack Developer
41232.0,Brazil,Online Courses or Certification,Front-End Developer
135722.0,United Kingdom of Great Britain and Northern Ireland,School,DevOps specialist
,France,School,Mobile Developer
230000.0,United States of America,School,Developer_ desktop or enterprise applications
163000.0,United States of America,Online forum and resources,Engineer_ data
18096.0,Mexico,"Colleague, friend or family",Mobile Developer
45000.0,United States of America,Online forum and resources,Front-End Developer
,Canada,Online forum and resources,Developer_ desktop or enterprise applications
116896.0,Switzerland,Online forum and resources,Data Scientist
,Norway,Online forum and resources,Fullstack Developer
95850.0,New Zealand,School,Developer_ desktop or enterprise applications
120.0,Kenya,Coding Bootcamp,Front-End Developer
200000.0,United States of America,Online forum and resources,Fullstack Developer
59172.0,Turkey,Online forum and resources,Front-End Developer
10596.0,Colombia,Online forum and resources,Mobile Developer
138553.0,United States of America,Coding Bootcamp,Developer_ desktop or enterprise applications
36000.0,United States of America,Online forum and resources,Front-End Developer
108000.0,Canada,School,Back-End Developer
103000.0,United States of America,Other,Developer_ desktop or enterprise applications
16488.0,Brazil,Other,Front-End Developer
80000.0,United States of America,Coding Bootcamp,Front-End Developer
6072.0,Poland,School,Fullstack Developer
85958.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
62352.0,Czech Republic,School,Developer_ desktop or enterprise applications
105000.0,United States of America,School,Data Scientist
750.0,Italy,School,Data Scientist
33408.0,Poland,Online forum and resources,Front-End Developer
,Japan,School,Mobile Developer
46533.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Developer_ embedded applications or devices
5940.0,Sri Lanka,"Colleague, friend or family",Fullstack Developer
205386.0,Germany,School,Fullstack Developer
70000.0,United States of America,School,Database administrator
,India,School,Mobile Developer
,El Salvador,School,Mobile Developer
19452.0,Canada,Online forum and resources,Front-End Developer
33607.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
624000.0,United States of America,Online forum and resources,Front-End Developer
