ConvertedCompYearly,Country,LearnCode,DevType
59676.0,Slovenia,Online forum and resources,Back-End Developer
17412.0,Croatia,Coding Bootcamp,Back-End Developer
,Hungary,Other,Front-End Developer
14844.0,Georgia,Coding Bootcamp,Front-End Developer
98321.0,Canada,School,Data Scientist
25944.0,Germany,Online forum and resources,Back-End Developer
54049.0,Italy,Online forum and resources,Front-End Developer
51887.0,Germany,School,Front-End Developer
115784.0,Denmark,School,Fullstack Developer
56616.0,Russian Federation,School,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Other,Fullstack Developer
69183.0,Ireland,Other,Mobile Developer
25944.0,Greece,Online forum and resources,Fullstack Developer
60752.0,United Kingdom of Great Britain and Northern Ireland,Coding Bootcamp,Academic researcher
16704.0,Poland,Other,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Other,Front-End Developer
81420.0,Romania,Online forum and resources,Back-End Developer
14280.0,Lebanon,Online Courses or Certification,Mobile Developer
84019.0,United Kingdom of Great Britain and Northern Ireland,School,Mobile Developer
63648.0,Bahrain,Other,Front-End Developer
4620.0,Egypt,Online forum and resources,Front-End Developer
70000.0,United States of America,School,Front-End Developer
,India,Online forum and resources,Fullstack Developer
91883.0,Ireland,Online forum and resources,Front-End Developer
,India,"Colleague, friend or family",Front-End Developer
,Nepal,Coding Bootcamp,Mobile Developer
30192.0,Russian Federation,Online Courses or Certification,Back-End Developer
90000.0,United States of America,School,Front-End Developer
21600.0,Colombia,School,Front-End Developer
50592.0,Netherlands,School,Mobile Developer
1512.0,India,Online forum and resources,Front-End Developer
193000.0,United States of America,School,Engineering manager
2650000.0,United States of America,School,Developer_ desktop or enterprise applications
28536.0,Greece,Coding Bootcamp,Mobile Developer
96874.0,Australia,School,Data Scientist
77556.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
103408.0,United Kingdom of Great Britain and Northern Ireland,School,Mobile Developer
121979.0,Switzerland,Online forum and resources,Developer_ embedded applications or devices
75492.0,Russian Federation,School,Mobile Developer
84316.0,Germany,Online forum and resources,Back-End Developer
43404.0,Russian Federation,Other,Fullstack Developer
75669.0,Belgium,Online forum and resources,Data Scientist
22584.0,Chile,"Colleague, friend or family",Front-End Developer
103408.0,United Kingdom of Great Britain and Northern Ireland,School,Mobile Developer
44320.0,France,School,Mobile Developer
,France,School,Fullstack Developer
,Bangladesh,School,Back-End Developer
,France,School,Data Scientist
51704.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
165000.0,United States of America,School,Fullstack Developer
5268.0,Indonesia,Online forum and resources,Mobile Developer
,Serbia,"Colleague, friend or family",Front-End Developer
51888.0,Germany,Online forum and resources,Fullstack Developer
85500.0,"Iran, Islamic Republic of...",Online forum and resources,Front-End Developer
,France,Online forum and resources,Academic researcher
3700000.0,United States of America,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Mobile Developer
48000.0,Bangladesh,Online forum and resources,Fullstack Developer
64859.0,France,Online forum and resources,Mobile Developer
42158.0,Germany,Online forum and resources,Mobile Developer
32424.0,Germany,School,Developer_ desktop or enterprise applications
,Bangladesh,Online forum and resources,Back-End Developer
51888.0,Netherlands,Coding Bootcamp,Data Scientist
35028.0,France,School,Academic researcher
,India,Online forum and resources,Fullstack Developer
,Austria,School,Front-End Developer
9084.0,Portugal,Online forum and resources,Front-End Developer
,New Zealand,Online forum and resources,Fullstack Developer
74588.0,Germany,"Colleague, friend or family",Back-End Developer
33732.0,Slovakia,Online forum and resources,Front-End Developer
27852.0,Bulgaria,Online forum and resources,Front-End Developer
50153.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
30716.0,India,Online forum and resources,Mobile Developer
77831.0,France,Coding Bootcamp,Back-End Developer
81624.0,Denmark,Online forum and resources,Front-End Developer
,Estonia,Online forum and resources,Fullstack Developer
,Spain,Other,Fullstack Developer
54049.0,Germany,School,Academic researcher
,Spain,Online forum and resources,Back-End Developer
10450.0,Armenia,Coding Bootcamp,Mobile Developer
41077.0,France,Online forum and resources,Front-End Developer
,Israel,Online Courses or Certification,Fullstack Developer
45396.0,Finland,Online forum and resources,Mobile Developer
19389.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
77831.0,France,"Colleague, friend or family",Fullstack Developer
160000.0,United States of America,School,Developer_ embedded applications or devices
200409.0,Israel,School,Back-End Developer
185000.0,United States of America,Online forum and resources,Fullstack Developer
107972.0,United States of America,Online forum and resources,DevOps specialist
66897.0,Hong Kong (S.A.R.),Online forum and resources,Fullstack Developer
,Poland,Online forum and resources,Back-End Developer
,United Arab Emirates,School,Fullstack Developer
75000.0,Argentina,Coding Bootcamp,Fullstack Developer
120000.0,United States of America,Online forum and resources,Fullstack Developer
,United States of America,Other,Senior Executive (C-Suite_ VP_ etc.)
8796.0,Brazil,School,Front-End Developer
32429.0,Spain,Online forum and resources,Mobile Developer
,Philippines,Online forum and resources,Mobile Developer
4272.0,"Iran, Islamic Republic of...",Online forum and resources,Fullstack Developer
28105.0,Spain,Online forum and resources,Fullstack Developer
,Finland,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Fullstack Developer
77832.0,Finland,"Colleague, friend or family",Back-End Developer
,Nepal,School,Front-End Developer
51704.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Academic researcher
18000.0,Costa Rica,Other,Front-End Developer
43239.0,Netherlands,Online forum and resources,Front-End Developer
9231.0,Egypt,Online forum and resources,Mobile Developer
70264.0,Germany,Online forum and resources,Fullstack Developer
,Ukraine,Coding Bootcamp,Mobile Developer
5388.0,Egypt,Online forum and resources,Mobile Developer
115000.0,United States of America,"Colleague, friend or family",Fullstack Developer
144000.0,United States of America,"Colleague, friend or family",Front-End Developer
65508.0,Ireland,School,Back-End Developer
70264.0,Germany,School,Developer_ desktop or enterprise applications
,Bulgaria,School,Developer_ desktop or enterprise applications
,United States of America,School,Front-End Developer
181515.0,Canada,School,Developer_ embedded applications or devices
81000.0,Sweden,Other,Back-End Developer
105000.0,United States of America,Other,Engineer_ data
56211.0,Germany,School,Fullstack Developer
64630.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
35508.0,Turkey,Online forum and resources,Back-End Developer
64859.0,Germany,Online forum and resources,Fullstack Developer
5750000.0,United States of America,Online forum and resources,Front-End Developer
110000.0,United States of America,Other,Mobile Developer
64860.0,Romania,Coding Bootcamp,Fullstack Developer
120000.0,United States of America,School,Mobile Developer
,Ukraine,School,Front-End Developer
32604.0,Armenia,Online forum and resources,Fullstack Developer
6360.0,Bangladesh,Coding Bootcamp,Engineer_ data
48644.0,Germany,Online forum and resources,Fullstack Developer
,Brazil,Coding Bootcamp,Fullstack Developer
,Japan,Online forum and resources,Front-End Developer
54672.0,Poland,School,Back-End Developer
35676.0,Netherlands,School,Fullstack Developer
,Croatia,Online forum and resources,Front-End Developer
,Romania,Online forum and resources,DevOps specialist
75631.0,Canada,School,Back-End Developer
,United States of America,Online Courses or Certification,Mobile Developer
70000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
58373.0,Germany,Online forum and resources,Academic researcher
,United Republic of Tanzania,Online forum and resources,Mobile Developer
25944.0,Greece,Online forum and resources,Fullstack Developer
5585.0,India,School,Front-End Developer
58000.0,United States of America,School,Back-End Developer
61616.0,Germany,Online forum and resources,Fullstack Developer
59454.0,France,Other,Engineering manager
55224.0,Sweden,School,Engineer_ data
68068.0,Canada,School,Engineer_ data
,United States of America,"Colleague, friend or family",Fullstack Developer
74000.0,United States of America,"Colleague, friend or family",Back-End Developer
217800.0,India,Online forum and resources,Data Scientist
118908.0,Netherlands,School,Developer_ desktop or enterprise applications
40000.0,United States of America,Online forum and resources,Back-End Developer
71850.0,Canada,School,Front-End Developer
66934.0,Canada,School,Front-End Developer
,Russian Federation,Coding Bootcamp,Developer_ desktop or enterprise applications
54216.0,Finland,Online forum and resources,Developer_ embedded applications or devices
16032.0,"Iran, Islamic Republic of...",Online forum and resources,Mobile Developer
64860.0,Spain,Coding Bootcamp,Fullstack Developer
19860.0,Peru,School,Mobile Developer
19452.0,Italy,Online forum and resources,Mobile Developer
,India,Online forum and resources,Fullstack Developer
54888.0,Switzerland,School,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,Other,Engineer_ data
108000.0,United States of America,Other,Front-End Developer
58373.0,Germany,Online forum and resources,Mobile Developer
,Hungary,Online forum and resources,Fullstack Developer
56616.0,Russian Federation,School,Back-End Developer
45401.0,Greece,School,Mobile Developer
48104.0,France,Online forum and resources,Back-End Developer
84312.0,Netherlands,Online forum and resources,Developer_ desktop or enterprise applications
55582.0,United Kingdom of Great Britain and Northern Ireland,Other,Fullstack Developer
,Ukraine,Online forum and resources,Developer_ QA or test
71093.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ desktop or enterprise applications
,United States of America,School,Front-End Developer
72000.0,Russian Federation,School,Front-End Developer
60752.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
25944.0,Greece,Online forum and resources,Fullstack Developer
,India,Online Courses or Certification,Mobile Developer
179858.0,Japan,Other,Fullstack Developer
,United States of America,Online forum and resources,Developer_ embedded applications or devices
,United States of America,School,Developer_ desktop or enterprise applications
30372.0,Poland,Online forum and resources,Mobile Developer
