YearsCode,YearsCodePro,DevType
18,6,Fullstack Developer
20,13,Engineering manager
15,3,Engineer_ data
11,6,Engineer_ data
4,1,Fullstack Developer
8,4,Back-End Developer
12,5,Data Scientist
30,14,Developer_ desktop or enterprise applications
18,1,Back-End Developer
15,8,Front-End Developer
21,14,Front-End Developer
9,3,Developer_ desktop or enterprise applications
8,3,Developer_ embedded applications or devices
12,10,Fullstack Developer
6,1,Mobile Developer
6,1,Fullstack Developer
43,41,Engineer_ data
25,20,Front-End Developer
8,7,Mobile Developer
15,10,Fullstack Developer
27,20,Back-End Developer
13,9,Mobile Developer
2,1,Back-End Developer
24,20,Developer_ desktop or enterprise applications
25,24,Fullstack Developer
42,27,Developer_ desktop or enterprise applications
7,3,Front-End Developer
30,21,Front-End Developer
9,4,Fullstack Developer
21,21,Mobile Developer
26,16,Fullstack Developer
10,6,Developer_ embedded applications or devices
38,25,Developer_ desktop or enterprise applications
26,20,Mobile Developer
15,6,Academic researcher
10,6,Mobile Developer
36,28,Mobile Developer
20,6,Data Scientist
12,3,Mobile Developer
12,4,Back-End Developer
25,16,Front-End Developer
6,4,Front-End Developer
25,16,Back-End Developer
8,7,Back-End Developer
35,23,Product Manager
16,4,Fullstack Developer
14,12,Fullstack Developer
7,4,Back-End Developer
11,6,Back-End Developer
2,1,Fullstack Developer
6,2,Front-End Developer
8,6,Data Scientist
15,1,DevOps specialist
30,20,Fullstack Developer
13,7,Fullstack Developer
5,2,Mobile Developer
17,12,Front-End Developer
40,35,Back-End Developer
3,3,Front-End Developer
12,5,Front-End Developer
7,5,Developer_ desktop or enterprise applications
9,7,Front-End Developer
20,12,Academic researcher
10,6,Front-End Developer
7,3,Front-End Developer
9,4,Fullstack Developer
10,6,Front-End Developer
9,4,Front-End Developer
13,8,Fullstack Developer
20,10,Front-End Developer
15,10,Front-End Developer
8,2,Mobile Developer
6,4,Front-End Developer
7,7,Fullstack Developer
8,4,Front-End Developer
7,6,Back-End Developer
11,7,Fullstack Developer
22,4,Data Analyst
6,1,Fullstack Developer
20,18,Back-End Developer
35,30,Mobile Developer
12,5,Fullstack Developer
13,10,Developer_ QA or test
6,2,Fullstack Developer
5,3,Engineer_ data
10,4,Back-End Developer
20,10,Fullstack Developer
15,12,Developer_ desktop or enterprise applications
9,5,Front-End Developer
9,6,Fullstack Developer
8,5,Back-End Developer
8,4,Fullstack Developer
21,19,Mobile Developer
18,17,Front-End Developer
33,18,Front-End Developer
25,20,Data Scientist
20,15,Developer_ desktop or enterprise applications
9,6,Front-End Developer
10,10,Mobile Developer
15,11,Fullstack Developer
14,10,Mobile Developer
10,3,Fullstack Developer
7,1,Fullstack Developer
12,7,Data Scientist
6,4,Front-End Developer
10,3,Fullstack Developer
12,9,Mobile Developer
10,8,Fullstack Developer
12,4,Fullstack Developer
28,20,Front-End Developer
3,2,Back-End Developer
18,11,Mobile Developer
39,35,Back-End Developer
15,9,Fullstack Developer
11,8,Back-End Developer
7,2,Fullstack Developer
11,3,Mobile Developer
16,12,Mobile Developer
6,3,Mobile Developer
15,6,Front-End Developer
6,2,Developer_ desktop or enterprise applications
40,21,Fullstack Developer
30,10,Developer_ desktop or enterprise applications
13,10,Back-End Developer
14,8,Back-End Developer
6,3,Database administrator
6,2,Fullstack Developer
16,9,Front-End Developer
4,4,Developer_ desktop or enterprise applications
10,8,Fullstack Developer
3,1,Mobile Developer
20,13,Developer_ desktop or enterprise applications
41,18,Data Scientist
5,4,Front-End Developer
23,13,Fullstack Developer
33,15,Back-End Developer
20,6,Engineer_ data
13,8,Mobile Developer
16,12,Back-End Developer
12,6,Front-End Developer
10,7,Front-End Developer
10,8,Developer_ desktop or enterprise applications
15,10,Developer_ QA or test
12,8,Engineer_ data
6,5,Back-End Developer
22,8,Back-End Developer
1,0,Front-End Developer
15,12,Front-End Developer
30,21,Mobile Developer
22,7,Front-End Developer
30,17,Mobile Developer
15,7,Front-End Developer
20,17,Front-End Developer
13,5,Engineer_ data
3,0,Data Scientist
25,19,DevOps specialist
17,10,Mobile Developer
8,3,Front-End Developer
14,10,Developer_ desktop or enterprise applications
13,10,Fullstack Developer
4,0,Mobile Developer
